time (s)	det(V)
5374.513539	-0.044438	
5374.515540	-0.042854	
5374.517540	-0.049601	
5374.521539	-0.048766	
5374.523540	-0.055283	
5374.525539	-0.053441	
5374.527541	-0.053931	
5374.529540	-0.049814	
5374.531540	-0.046577	
5374.533539	-0.054496	
5374.535540	-0.053438	
5374.537540	-0.053238	
5374.539539	-0.059342	
5374.543540	-0.060075	
5374.547540	-0.057041	
5374.549540	-0.052299	
5374.551539	-0.059413	
5374.553541	-0.059207	
5374.555540	-0.058508	
5374.559539	-0.060391	
5374.561540	-0.061987	
5374.563540	-0.059061	
5374.565540	-0.060802	
5374.567542	-0.060618	
5374.569540	-0.059940	
5374.571540	-0.060924	
5374.573541	-0.061688	
5374.575539	-0.057105	
5374.579539	-0.056565	
5374.581540	-0.060171	
5374.583540	-0.062659	
5374.585539	-0.062609	
5374.587540	-0.058983	
5374.589539	-0.057051	
5374.591540	-0.054084	
5374.593540	-0.053558	
5374.595541	-0.048923	
5374.599539	-0.051266	
5374.603539	-0.053808	
5374.605540	-0.046329	
5374.607540	-0.045992	
5374.609539	-0.040433	
5374.611539	-0.039425	
5374.613540	-0.033582	
5374.617539	-0.030397	
5374.619539	-0.034931	
5374.621540	-0.035610	
5374.625540	-0.030098	
5374.627541	-0.013903	
5374.629539	-0.009730	
5374.631539	-0.004123	
5374.633539	0.001041	
5374.637539	0.002061	
5374.639539	0.007726	
5374.643541	0.017424	
5374.645541	0.038243	
5374.647539	0.045667	
5374.649540	0.052913	
5374.651540	0.059038	
5374.655539	0.070196	
5374.657539	0.083454	
5374.659539	0.100380	
5374.663540	0.111884	
5374.665540	0.145260	
5374.667540	0.153230	
5374.669539	0.168926	
5374.671540	0.184337	
5374.673539	0.200916	
5374.677539	0.219350	
5374.681540	0.261088	
5374.683540	0.308833	
5374.685541	0.332206	
5374.687539	0.352440	
5374.689539	0.376455	
5374.693539	0.408113	
5374.695540	0.462965	
5374.697539	0.497998	
5374.699540	0.530545	
5374.701540	0.572388	
5374.703540	0.611387	
5374.705539	0.652140	
5374.707539	0.694513	
5374.709540	0.742840	
5374.713539	0.791127	
5374.715540	0.892746	
5374.717540	0.942133	
5374.719539	1.002681	
5374.721541	1.066289	
5374.723540	1.130361	
5374.725540	1.197618	
5374.727540	1.263026	
5374.729540	1.337852	
5374.733539	1.411296	
5374.735539	1.567808	
5374.739541	1.596403	
5374.741540	1.597138	
5374.743540	1.597051	
5374.745539	1.597119	
5374.747540	1.597166	
5374.751539	1.597169	
5374.753540	1.597194	
5374.755540	1.597236	
5374.757539	1.597158	
5374.761539	1.597088	
5374.763539	1.597077	
5374.765540	1.597054	
5374.767539	1.597130	
5374.769539	1.597145	
5374.773540	1.597121	
5374.777540	1.597194	
5374.779540	1.597145	
5374.781539	1.597149	
5374.783542	1.597163	
5374.785539	1.597203	
5374.789539	1.597221	
5374.791540	1.597231	
5374.793540	1.597250	
5374.795539	1.597279	
5374.797541	1.597297	
5374.799540	1.597191	
5374.801540	1.597162	
5374.803540	1.597228	
5374.805540	1.597150	
5374.809539	1.597094	
5374.813539	1.597175	
5374.815540	1.597231	
5374.817540	1.597117	
5374.819540	1.597113	
5374.821539	1.597144	
5374.823540	1.597091	
5374.827539	1.597145	
5374.831539	1.597190	
5374.833540	1.597071	
5374.835540	1.597070	
5374.837540	1.597126	
5374.839539	1.597224	
5374.841540	1.597147	
5374.843540	1.597208	
5374.847539	1.597178	
5374.849539	1.597172	
5374.853540	1.597125	
5374.855540	1.597066	
5374.857540	1.597060	
5374.859540	1.597112	
5374.861540	1.597059	
5374.865539	1.597058	
5374.867539	1.597117	
5374.869540	1.597155	
5374.873541	1.597221	
5374.875540	1.597114	
5374.877539	1.597111	
5374.879540	1.597129	
5374.881539	1.597092	
5374.883540	1.597093	
5374.887540	1.597181	
5374.891540	1.570744	
5374.893539	1.305110	
5374.895539	1.169654	
5374.897541	1.029499	
5374.899540	0.885459	
5374.903539	0.739511	
5374.905540	0.444627	
5374.907540	0.304595	
5374.909540	0.163656	
5374.911540	0.022241	
5374.915539	-0.267602	
5374.917543	-0.417811	
5374.919539	-0.559499	
5374.921539	-0.712219	
5374.923539	-0.861835	
5374.927539	-1.000481	
5374.929540	-1.287950	
5374.931541	-1.426833	
5374.933540	-1.582031	
5374.935540	-1.663316	
5374.937539	-1.663896	
5374.939539	-1.664092	
5374.941541	-1.664269	
5374.943541	-1.664516	
5374.947539	-1.664663	
5374.949540	-1.664991	
5374.951540	-1.665069	
5374.953539	-1.665167	
5374.955539	-1.665231	
5374.957539	-1.665292	
5374.959539	-1.665276	
5374.961540	-1.665269	
5374.963539	-1.665278	
5374.965539	-1.665269	
5374.969539	-1.665227	
5374.971540	-1.665231	
5374.973540	-1.665273	
5374.975540	-1.665287	
5374.977539	-1.665305	
5374.979540	-1.665373	
5374.981539	-1.665366	
5374.983540	-1.665261	
5374.985539	-1.665288	
5374.987539	-1.665307	
5374.989540	-1.665269	
5374.993540	-1.665256	
5374.995540	-1.665297	
5374.997540	-1.665324	
5374.999539	-1.665316	
5375.001539	-1.665250	
5375.003540	-1.665302	
5375.005539	-1.665246	
5375.007540	-1.665287	
5375.009539	-1.665258	
5375.011539	-1.665227	
5375.015540	-1.665243	
5375.017540	-1.665276	
5375.019540	-1.665275	
5375.021539	-1.665270	
5375.023539	-1.665264	
5375.027539	-1.665234	
5375.029540	-1.665245	
5375.031541	-1.665238	
5375.035540	-1.665238	
5375.037539	-1.665268	
5375.039540	-1.665343	
5375.041540	-1.665242	
5375.043540	-1.665291	
5375.047539	-1.665250	
5375.051539	-1.665274	
5375.053540	-1.665229	
5375.055540	-1.665248	
5375.057540	-1.665156	
5375.059539	-1.665105	
5375.061540	-1.665018	
5375.063540	-1.664895	
5375.065540	-1.664812	
5375.067540	-1.664676	
5375.069540	-1.664485	
5375.071539	-1.664354	
5375.075540	-1.664253	
5375.077540	-1.664033	
5375.079540	-1.663935	
5375.081544	-1.663826	
5375.083540	-1.663746	
5375.087539	-1.661985	
5375.089540	-1.542342	
5375.091540	-1.469851	
5375.095540	-1.402797	
5375.097540	-1.273603	
5375.099540	-1.217127	
5375.101539	-1.167396	
5375.103539	-1.111848	
5375.107539	-1.065148	
5375.109540	-0.970822	
5375.111540	-0.921282	
5375.113540	-0.877916	
5375.115540	-0.830083	
5375.117539	-0.796681	
5375.119540	-0.756559	
5375.121540	-0.721784	
5375.123539	-0.688075	
5375.127539	-0.653193	
5375.131539	-0.595891	
5375.133541	-0.536077	
5375.135540	-0.505906	
5375.137539	-0.484728	
5375.139539	-0.463845	
5375.141540	-0.438799	
5375.145539	-0.415976	
5375.147540	-0.378555	
5375.149540	-0.362809	
5375.153540	-0.345055	
5375.155540	-0.307199	
5375.157540	-0.292500	
5375.159540	-0.275906	
5375.161540	-0.257189	
5375.163539	-0.245586	
5375.167540	-0.235539	
5375.171540	-0.216374	
5375.173541	-0.191481	
5375.175540	-0.175450	
5375.177539	-0.168297	
5375.179539	-0.154109	
5375.183539	-0.146293	
5375.185539	-0.138303	
5375.187540	-0.134556	
5375.189540	-0.126444	
5375.191543	-0.113176	
5375.193540	-0.105476	
5375.195539	-0.097705	
5375.197540	-0.092137	
5375.199540	-0.086360	
5375.203539	-0.083858	
5375.205540	-0.082530	
5375.207540	-0.076047	
5375.209539	-0.069049	
5375.211540	-0.060236	
5375.213539	-0.053081	
5375.215539	-0.046791	
5375.217540	-0.048914	
5375.219540	-0.046285	
5375.221540	-0.044849	
5375.225540	-0.049140	
5375.229540	-0.036214	
5375.231539	-0.022785	
5375.233541	-0.024957	
5375.235539	-0.023173	
5375.237540	-0.023105	
5375.241539	-0.022188	
5375.243540	-0.019416	
5375.245540	-0.018287	
5375.249540	-0.013472	
5375.251541	-0.009603	
5375.253540	-0.010967	
5375.255540	-0.011757	
5375.257540	-0.009013	
5375.259540	-0.006836	
5375.263540	-0.010010	
5375.267540	-0.005768	
5375.269540	0.000454	
5375.271540	-0.001264	
5375.273540	-0.003147	
5375.275540	0.003359	
5375.279539	0.003113	
5375.281540	0.003471	
5375.283539	-0.000997	
5375.287540	0.000168	
5375.289540	0.004315	
5375.291540	0.006389	
5375.293540	0.007403	
5375.295540	0.011074	
5375.299539	0.008933	
5375.301540	0.001673	
5375.305540	-0.000212	
5375.307540	0.007686	
5375.309540	0.007442	
5375.311540	0.009121	
5375.313540	0.010639	
5375.317539	0.012033	
5375.319540	0.000560	
5375.321541	0.001635	
5375.325540	-0.000244	
5375.327539	0.010485	
5375.329539	0.012657	
5375.331540	0.011961	
5375.333540	0.009683	
5375.335539	0.007206	
5375.339539	0.003313	
5375.343540	0.003972	
5375.345539	0.011238	
5375.347541	0.011046	
5375.349539	0.008348	
5375.351540	0.008452	
5375.355540	0.005974	
5375.357540	-0.001322	
5375.359539	0.000771	
5375.363542	0.002004	
5375.365540	0.011364	
5375.367540	0.004460	
5375.369540	0.003923	
5375.371540	0.003829	
5375.373539	0.002099	
5375.377539	0.001145	
5375.381540	0.002866	
5375.383540	0.005190	
5375.385540	0.004095	
5375.387540	0.001291	
5375.389539	0.002595	
5375.393539	0.004020	
5375.395539	0.000216	
5375.397540	-0.000618	
5375.399540	0.000346	
5375.401541	0.001735	
5375.403540	0.000902	
5375.405539	0.002173	
5375.407539	-0.000351	
5375.409539	0.002464	
5375.413539	0.004148	
5375.415539	-0.001739	
5375.417539	-0.006425	
5375.419539	-0.006324	
5375.421540	-0.001666	
5375.423540	-0.003576	
5375.425539	0.002324	
5375.427539	-0.000110	
5375.429540	0.003254	
5375.433539	0.003691	
5375.437539	-0.006907	
5375.439540	-0.004449	
5375.441540	-0.001936	
5375.443539	0.000459	
5375.445540	-0.000484	
5375.447539	0.000781	
5375.449540	0.000678	
5375.451539	-0.008000	
5375.453540	-0.010163	
5375.455540	-0.010211	
5375.457540	-0.010299	
5375.461540	-0.007328	
5375.463541	0.000338	
5375.465540	0.000469	
5375.467540	-0.003918	
5375.469539	-0.005387	
5375.473539	-0.003816	
5375.475539	-0.008524	
5375.477540	-0.009492	
5375.481540	-0.008099	
5375.483540	-0.004347	
5375.485540	-0.006073	
5375.487540	-0.007780	
5375.489540	-0.007360	
5375.491540	-0.007383	
5375.495539	-0.008025	
5375.499547	-0.005398	
5375.501539	-0.005117	
5375.503539	-0.004166	
5375.505540	-0.007971	
5375.507539	-0.003942	
5375.511539	-0.003521	
5375.513540	-0.007938	
5375.515539	-0.006631	
5375.519540	-0.009676	
5375.521539	-0.005376	
5375.523540	-0.005366	
5375.525539	-0.002213	
5375.527540	-0.000107	
5375.529541	-0.000783	
5375.533539	-0.002584	
5375.537540	-0.006023	
5375.539539	-0.000572	
5375.541540	0.002330	
5375.543539	0.000583	
5375.545540	0.008184	
5375.549539	0.005659	
5375.551540	0.000904	
5375.553540	-0.001754	
5375.557540	-0.001136	
5375.559540	0.011023	
5375.561540	0.010329	
5375.563540	0.011337	
5375.565540	0.017149	
5375.567540	0.010475	
5375.571539	0.010062	
5375.575540	0.008039	
5375.577540	0.021856	
5375.579540	0.025219	
5375.581540	0.027370	
5375.583539	0.027233	
5375.587539	0.029432	
5375.589540	0.023480	
5375.591539	0.030383	
5375.593539	0.032013	
5375.595542	0.042106	
5375.597540	0.046536	
5375.599540	0.048832	
5375.601539	0.048522	
5375.603540	0.054301	
5375.607539	0.052858	
5375.609540	0.058025	
5375.611540	0.064207	
5375.613539	0.068946	
5375.615540	0.079278	
5375.617540	0.082998	
5375.619540	0.085269	
5375.621539	0.088474	
5375.623539	0.094581	
5375.627540	0.102556	
5375.629540	0.111736	
5375.633540	0.118199	
5375.635540	0.134600	
5375.637540	0.142524	
5375.639543	0.146342	
5375.641540	0.159031	
5375.645539	0.169898	
5375.647540	0.184341	
5375.649540	0.192333	
5375.653540	0.202284	
5375.655539	0.229745	
5375.657539	0.239412	
5375.659540	0.254174	
5375.661540	0.274572	
5375.663540	0.282809	
5375.667539	0.296125	
5375.671540	0.321266	
5375.673539	0.359716	
5375.675541	0.379181	
5375.677541	0.396318	
5375.679540	0.418689	
5375.683540	0.439497	
5375.685540	0.471495	
5375.687540	0.495478	
5375.689541	0.521168	
5375.691542	0.550908	
5375.693540	0.584635	
5375.695540	0.614174	
5375.697540	0.645666	
5375.699539	0.674634	
5375.703539	0.709177	
5375.705539	0.774910	
5375.707540	0.813686	
5375.709539	0.857158	
5375.711540	0.904507	
5375.713540	0.951932	
5375.715539	0.996201	
5375.717540	1.034192	
5375.719540	1.085972	
5375.723539	1.132522	
5375.725539	1.234703	
5375.729540	1.288005	
5375.731539	1.412383	
5375.733539	1.474536	
5375.735539	1.538186	
5375.737540	1.588935	
5375.741539	1.596707	
5375.743540	1.597174	
5375.745539	1.597183	
5375.749540	1.597179	
5375.751540	1.597130	
5375.753540	1.597132	
5375.755539	1.597165	
5375.757540	1.597097	
5375.759540	1.597073	
5375.763540	1.597060	
5375.767540	1.597148	
5375.769540	1.597121	
5375.771541	1.597183	
5375.773542	1.597137	
5375.775540	1.597162	
5375.779539	1.597179	
5375.781540	1.597217	
5375.783541	1.597128	
5375.785540	1.597161	
5375.787540	1.597182	
5375.789540	1.597092	
5375.791540	1.597126	
5375.793540	1.597057	
5375.795539	1.597154	
5375.799539	1.597184	
5375.801539	1.597241	
5375.803541	1.597207	
5375.805540	1.597182	
5375.807540	1.597092	
5375.809539	1.597004	
5375.811539	1.597114	
5375.813540	1.597086	
5375.815539	1.597080	
5375.819539	1.597075	
5375.821539	1.597104	
5375.825540	1.597206	
5375.827540	1.597183	
5375.829539	1.597095	
5375.831541	1.597081	
5375.833539	1.597126	
5375.837539	1.597161	
5375.839541	1.597202	
5375.841540	1.597170	
5375.845540	1.597221	
5375.847539	1.597206	
5375.849539	1.597180	
5375.851539	1.597200	
5375.853540	1.597179	
5375.855539	1.597131	
5375.859540	1.597181	
5375.863540	1.597199	
5375.865539	1.597110	
5375.867541	1.597084	
5375.869539	1.597162	
5375.871542	1.597196	
5375.875539	1.597119	
5375.877539	1.597156	
5375.879540	1.597165	
5375.881540	1.597151	
5375.883541	1.596611	
5375.885540	1.543309	
5375.887540	1.394374	
5375.889540	1.249120	
5375.891540	1.114237	
5375.895539	0.968946	
5375.897540	0.679381	
5375.899540	0.533033	
5375.901540	0.389465	
5375.903540	0.251406	
5375.905540	0.105226	
5375.907545	-0.039310	
5375.909539	-0.181584	
5375.911540	-0.325403	
5375.915539	-0.470457	
5375.917541	-0.765758	
5375.921540	-0.909170	
5375.923540	-1.196372	
5375.925539	-1.329834	
5375.927539	-1.477106	
5375.929540	-1.617963	
5375.933539	-1.663832	
5375.935539	-1.664213	
5375.937541	-1.664382	
5375.941540	-1.664593	
5375.943540	-1.664879	
5375.945540	-1.665046	
5375.947539	-1.665200	
5375.949540	-1.665205	
5375.953539	-1.665323	
5375.957539	-1.665339	
5375.959540	-1.665309	
5375.961539	-1.665351	
5375.963540	-1.665340	
5375.965540	-1.665343	
5375.967539	-1.665336	
5375.969540	-1.665296	
5375.971540	-1.665361	
5375.973540	-1.665372	
5375.975540	-1.665268	
5375.979540	-1.665325	
5375.981540	-1.665293	
5375.983540	-1.665306	
5375.985539	-1.665339	
5375.987540	-1.665334	
5375.989539	-1.665297	
5375.991539	-1.665334	
5375.993540	-1.665359	
5375.995539	-1.665409	
5375.997540	-1.665397	
5375.999540	-1.665360	
5376.003540	-1.665328	
5376.005540	-1.665315	
5376.007540	-1.665334	
5376.009540	-1.665360	
5376.011540	-1.665299	
5376.015539	-1.665363	
5376.017540	-1.665310	
5376.019539	-1.665354	
5376.023540	-1.665301	
5376.025539	-1.665419	
5376.027540	-1.665378	
5376.029540	-1.665418	
5376.031540	-1.665404	
5376.035539	-1.665426	
5376.039539	-1.665407	
5376.041540	-1.665390	
5376.043541	-1.665430	
5376.045543	-1.665410	
5376.047539	-1.665316	
5376.049540	-1.665155	
5376.053539	-1.665148	
5376.055539	-1.664953	
5376.057540	-1.664783	
5376.061540	-1.664733	
5376.063540	-1.664407	
5376.065540	-1.664290	
5376.067540	-1.664187	
5376.069539	-1.664112	
5376.073539	-1.663931	
5376.077539	-1.663324	
5376.079540	-1.518278	
5376.081541	-1.437825	
5376.083541	-1.365098	
5376.085539	-1.295392	
5376.087540	-1.230162	
5376.089540	-1.165899	
5376.091539	-1.104857	
5376.093539	-1.046883	
5376.095540	-0.988491	
5376.099540	-0.931316	
5376.101540	-0.827270	
5376.103539	-0.775498	
5376.105540	-0.731918	
5376.107541	-0.685295	
5376.109540	-0.642701	
5376.111539	-0.604277	
5376.113540	-0.571327	
5376.115540	-0.536737	
5376.117540	-0.503434	
5376.119540	-0.476417	
5376.123540	-0.443833	
5376.125540	-0.384765	
5376.127540	-0.358518	
5376.129541	-0.331646	
5376.131539	-0.304525	
5376.135539	-0.287470	
5376.137539	-0.253302	
5376.139539	-0.237057	
5376.141539	-0.210878	
5376.143541	-0.189974	
5376.145540	-0.172501	
5376.147540	-0.154853	
5376.149540	-0.142153	
5376.151540	-0.128508	
5376.155539	-0.120425	
5376.157540	-0.099513	
5376.159540	-0.087836	
5376.161540	-0.075502	
5376.163540	-0.059153	
5376.165540	-0.050182	
5376.167540	-0.044924	
5376.169539	-0.037705	
5376.171540	-0.032204	
5376.175540	-0.025685	
5376.179539	-0.014135	
5376.181540	0.002558	
5376.183540	0.004240	
5376.185540	0.009200	
5376.187540	0.010596	
5376.189540	0.018298	
5376.193539	0.025611	
5376.195539	0.026790	
5376.197540	0.030280	
5376.201540	0.028364	
5376.203539	0.039132	
5376.205539	0.041344	
5376.207539	0.040979	
5376.209539	0.047800	
5376.211540	0.048891	
5376.215539	0.045768	
5376.219541	0.046607	
5376.221539	0.054480	
5376.223540	0.053078	
5376.225540	0.056702	
5376.227540	0.060719	
5376.231539	0.059958	
5376.233540	0.054266	
5376.235541	0.053746	
