crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-75.848022	5517	0.000000
281474976710655.000000	-48.842403	5518	0.000000
281474976710655.000000	-76.195755	5519	0.000000
281474976710655.000000	-113.358429	5520	0.000000
281474976710655.000000	-76.818260	5521	0.000000
281474976710655.000000	-72.772072	5522	0.000000
281474976710655.000000	-154.473328	5523	0.000000
281474976710655.000000	-72.781258	5524	0.000000
281474976710655.000000	-38.108788	5525	0.000000
281474976710655.000000	-80.235870	5526	0.000000
281474976710655.000000	-51.628132	5527	0.000000
281474976710655.000000	-73.008682	5528	0.000000
281474976710655.000000	-75.651955	5529	0.000000
281474976710655.000000	-71.400589	5530	0.000000
281474976710655.000000	-38.145775	5531	0.000000
281474976710655.000000	-146.789124	5532	0.000000
281474976710655.000000	-76.626801	5533	0.000000
281474976710655.000000	-115.730675	5534	0.000000
281474976710655.000000	-75.573990	5535	0.000000
281474976710655.000000	-77.004921	5536	0.000000
281474976710655.000000	-144.502686	5537	0.000000
281474976710655.000000	-74.934647	5538	0.000000
281474976710655.000000	-74.653259	5539	0.000000
281474976710655.000000	-73.185318	5540	0.000000
281474976710655.000000	-154.159790	5541	0.000000
281474976710655.000000	-78.056404	5542	0.000000
281474976710655.000000	-36.619568	5543	0.000000
281474976710655.000000	-113.817490	5544	0.000000
281474976710655.000000	-48.570587	5545	0.000000
281474976710655.000000	-36.588425	5546	0.000000
281474976710655.000000	-75.008568	5547	0.000000
281474976710655.000000	-35.339451	5548	0.000000
281474976710655.000000	-73.025711	5549	0.000000
281474976710655.000000	-67.869537	5550	0.000000
281474976710655.000000	-74.010902	5551	0.000000
281474976710655.000000	-142.086746	5552	0.000000
281474976710655.000000	-35.926472	5553	0.000000
281474976710655.000000	-52.986015	5554	0.000000
281474976710655.000000	-74.621643	5555	0.000000
281474976710655.000000	-45.685181	5556	0.000000
281474976710655.000000	-38.481930	5557	0.000000
281474976710655.000000	-69.798737	5558	0.000000
281474976710655.000000	-146.149460	5559	0.000000
281474976710655.000000	-53.222851	5560	0.000000
281474976710655.000000	-55.770199	5561	0.000000
281474976710655.000000	-44.872864	5562	0.000000
281474976710655.000000	-73.521790	5563	0.000000
281474976710655.000000	-68.922440	5564	0.000000
281474976710655.000000	-73.227791	5565	0.000000
281474976710655.000000	-76.710777	5566	0.000000
281474976710655.000000	-78.137115	5567	0.000000
281474976710655.000000	-70.418388	5568	0.000000
281474976710655.000000	-78.896942	5569	0.000000
281474976710655.000000	-106.646782	5570	0.000000
281474976710655.000000	-71.421211	5571	0.000000
281474976710655.000000	-69.973648	5572	0.000000
281474976710655.000000	-71.540878	5573	0.000000
281474976710655.000000	-48.288040	5574	0.000000
281474976710655.000000	-72.064362	5575	0.000000
281474976710655.000000	-35.844704	5576	0.000000
281474976710655.000000	-71.762077	5577	0.000000
281474976710655.000000	-72.112694	5578	0.000000
281474976710655.000000	-73.292671	5579	0.000000
281474976710655.000000	-44.791199	5580	0.000000
281474976710655.000000	-36.874645	5581	0.000000
281474976710655.000000	-65.748596	5582	0.000000
281474976710655.000000	-146.915100	5583	0.000000
281474976710655.000000	-66.476685	5584	0.000000
281474976710655.000000	-74.291161	5585	0.000000
281474976710655.000000	-45.918842	5586	0.000000
281474976710655.000000	-70.526077	5587	0.000000
281474976710655.000000	-34.041737	5588	0.000000
281474976710655.000000	-69.388184	5589	0.000000
281474976710655.000000	-44.045918	5590	0.000000
281474976710655.000000	-54.978165	5591	0.000000
281474976710655.000000	-67.731239	5592	0.000000
281474976710655.000000	-47.450447	5593	0.000000
281474976710655.000000	-67.133453	5594	0.000000
281474976710655.000000	-71.075668	5595	0.000000
281474976710655.000000	-67.283745	5596	0.000000
281474976710655.000000	-68.697708	5597	0.000000
