num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5955	6457.503315	67.576467	-13.615942	3.630823	67.990428
5957	6459.584889	67.428058	-13.688892	3.636585	69.296738
5959	6461.663002	67.719628	-13.776392	3.637355	69.923740
5961	6463.736770	67.808160	-13.838422	3.633807	69.729654
5965	6467.875299	67.940460	-13.973019	3.623505	67.529324
5967	6469.938603	68.160618	-13.923876	3.625705	71.233954
5969	6471.998795	68.311312	-13.767466	3.636156	68.957172
5973	6476.140499	66.536261	-13.899011	3.633447	62.397125
5975	6478.223633	66.478276	-13.813684	3.618434	60.875829
5977	6480.304115	66.528548	-13.810418	3.615315	61.420700
5979	6482.380958	66.776234	-13.837792	3.613537	62.024143
5981	6484.454956	66.773486	-13.954759	3.611515	63.690448
5983	6486.526411	66.684100	-14.132840	3.609808	62.490563
5985	6488.597264	66.611641	-14.313843	3.606238	66.432882
5987	6490.667197	66.458417	-14.340623	3.604262	63.854626
5989	6492.737090	66.496674	-14.527401	3.601220	64.745890
5991	6494.805105	66.370813	-14.611706	3.599391	65.640545
5993	6496.872381	66.486493	-14.605839	3.598226	64.059114
5995	6498.938115	66.307845	-14.626968	3.598851	66.898079
5999	6503.068248	66.019216	-14.580873	3.597183	64.939547
6001	6505.135310	65.830201	-14.642380	3.600212	65.276478
6003	6507.204514	65.750166	-14.561257	3.599520	67.161005
6005	6509.275125	65.632139	-14.583223	3.594632	61.446647
6009	6513.418082	65.336488	-14.681178	3.584576	61.190618
6011	6515.491361	65.070354	-14.729145	3.578609	63.808602
6013	6517.566783	64.645026	-14.761766	3.575380	63.647979
6015	6519.642971	64.593483	-14.804417	3.576409	65.225962
6017	6521.719496	64.340672	-14.834564	3.575566	61.557354
6019	6523.795406	64.416036	-14.813996	3.574897	62.351990
6023	6527.943294	64.291674	-14.921725	3.572037	62.632028
6025	6530.015868	64.286859	-14.879058	3.568891	60.405214
6027	6532.087656	64.108340	-14.949757	3.566441	61.923660
6029	6534.159191	63.844815	-15.016784	3.563767	61.120601
6031	6536.230001	64.008805	-15.075362	3.561008	58.951202
6033	6538.299998	64.044776	-15.126770	3.557841	60.174083
6035	6540.369464	63.913882	-15.208195	3.554309	60.224558
6037	6542.437410	63.868438	-15.213359	3.552653	62.105211
6041	6546.569840	63.528195	-15.253444	3.550669	63.021855
6043	6548.634678	63.961878	-15.344109	3.550744	61.881795
6045	6550.701313	63.648369	-15.181264	3.555367	58.127330
6049	6554.839548	63.043275	-15.245868	3.547624	59.546607
6051	6556.910151	63.095307	-15.233032	3.545701	55.612256
6053	6558.981469	63.164550	-15.295942	3.539157	56.625485
6057	6563.126878	62.609104	-15.345413	3.531598	57.490588
6059	6565.202133	62.077750	-15.380963	3.528054	57.611335
6061	6567.278053	62.115002	-15.416587	3.528191	60.038989
6063	6569.354396	62.151797	-15.474009	3.527832	59.975895
6065	6571.429293	61.909527	-15.453440	3.526936	59.309317
6069	6575.575760	61.874420	-15.515409	3.523186	58.031981
6071	6577.647557	61.799729	-15.564405	3.519595	56.678597
6073	6579.718035	61.776586	-15.602540	3.517242	57.842343
6077	6583.855894	61.540618	-15.684009	3.512476	59.093885
6079	6585.922777	61.692080	-15.687690	3.511550	57.648852
6081	6587.988698	61.726934	-15.665715	3.513076	57.450093
6085	6592.121064	61.464918	-15.737732	3.511227	55.537754
6087	6594.189331	61.389084	-15.658011	3.512091	54.740641
6089	6596.259474	61.220523	-15.621423	3.510303	52.323142
